,IBOXX,SPXPuts,Beta,0
2020-05-22,0.0009796763536886743,0.0018000538426736767,,
2020-05-26,-0.00011693943689472519,0.004308121643674667,,
2020-05-27,0.003604251073639375,0.002912210618924327,,
2020-05-28,-0.0012856335347386505,-0.0006923374810750005,,
2020-05-29,0.005038573744104546,0.001872278620924206,,
2020-06-01,0.00040185868470477004,0.0012191654291831,,
2020-06-02,0.002126286900085539,0.0016348303591851021,,
2020-06-03,0.0002733613036962623,0.0018518952490440554,,
2020-06-04,-0.0015822602414230502,0.00010406729694611982,,
2020-06-05,0.00597524729895671,0.0011382514337618943,,
2020-06-08,0.004019612874516909,0.0002655981169690236,,
2020-06-09,-0.0001991957032796421,-0.0001443380515135928,,
2020-06-10,0.003241833651800974,0.00011547210784090822,,
