,No.,Company,Format,Form Type,Filing Date,Size,Link,CIK,Ticker
14,152,1347 Capital Corp,[text] [html],4/A,07/11/2016,6940,/Archives/edgar/data/1606163/000114420416112468/0001144204-16-112468-index.htm,0001409889,NOT IN LIST
15,152,1347 Capital Corp,[text] [html],4,07/06/2016,6576,/Archives/edgar/data/1606163/000114420416111836/0001144204-16-111836-index.htm,0001409889,NOT IN LIST
16,152,1347 Capital Corp,[text] [html],8-K,06/29/2016,38554,/Archives/edgar/data/1606163/000114420416110598/0001144204-16-110598-index.htm,0001606163,lmb US Equity
17,241,1347 Capital Corp,[text] [html],425,06/29/2016,38965,/Archives/edgar/data/1606163/000114420416110599/0001144204-16-110599-index.htm,0001606163,lmb US Equity
18,241,1347 Capital Corp,[text] [html],425,06/24/2016,38939,/Archives/edgar/data/1606163/000114420416109610/0001144204-16-109610-index.htm,0001606163,lmb US Equity
19,152,1347 Capital Corp,[text] [html],8-K,06/24/2016,38528,/Archives/edgar/data/1606163/000114420416109609/0001144204-16-109609-index.htm,0001606163,lmb US Equity
20,152,1347 Capital Corp,[text] [html],4,06/23/2016,12271,/Archives/edgar/data/1606163/000114420416109565/0001144204-16-109565-index.htm,0001409889,NOT IN LIST
21,152,1347 Capital Corp,[text] [html],4,06/21/2016,6578,/Archives/edgar/data/1606163/000114420416109196/0001144204-16-109196-index.htm,0001409889,NOT IN LIST
22,152,1347 Capital Corp,[text] [html],424B3,06/16/2016,5541977,/Archives/edgar/data/1606163/000114420416108461/0001144204-16-108461-index.htm,0001606163,lmb US Equity
23,152,1347 Capital Corp,[text] [html],EFFECT,06/16/2016,1642,/Archives/edgar/data/1606163/999999999516004917/9999999995-16-004917-index.htm,0001606163,lmb US Equity
24,152,1347 Capital Corp,[text] [html],CORRESP,06/14/2016,9436,/Archives/edgar/data/1606163/000114420416108115/0001144204-16-108115-index.htm,0001606163,lmb US Equity
25,152,1347 Capital Corp,[text] [html],S-4/A,06/10/2016,156921,/Archives/edgar/data/1606163/000114420416107917/0001144204-16-107917-index.htm,0001606163,lmb US Equity
26,152,1347 Capital Corp,[text] [html],S-4/A,06/08/2016,8664337,/Archives/edgar/data/1606163/000114420416107557/0001144204-16-107557-index.htm,0001606163,lmb US Equity
27,152,1347 Capital Corp,[text] [html],CORRESP,06/08/2016,44380,/Archives/edgar/data/1606163/000114420416107558/0001144204-16-107558-index.htm,0001606163,lmb US Equity
28,241,1347 Capital Corp,[text] [html],425,06/07/2016,3696868,/Archives/edgar/data/1606163/000114420416107183/0001144204-16-107183-index.htm,0001606163,lmb US Equity
29,152,1347 Capital Corp,[text] [html],CORRESP,06/06/2016,27236,/Archives/edgar/data/1606163/000114420416106890/0001144204-16-106890-index.htm,0001606163,lmb US Equity
30,152,1347 Capital Corp,[text] [html],8-K,06/06/2016,3719804,/Archives/edgar/data/1606163/000114420416107094/0001144204-16-107094-index.htm,0001606163,lmb US Equity
31,152,1347 Capital Corp,[text] [html],S-4/A,06/01/2016,8273652,/Archives/edgar/data/1606163/000114420416106278/0001144204-16-106278-index.htm,0001606163,lmb US Equity
32,152,1347 Capital Corp,[text] [html],CORRESP,06/01/2016,73852,/Archives/edgar/data/1606163/000114420416106269/0001144204-16-106269-index.htm,0001606163,lmb US Equity
33,152,1347 Capital Corp,[text] [html],8-K,05/31/2016,39160,/Archives/edgar/data/1606163/000114420416105874/0001144204-16-105874-index.htm,0001606163,lmb US Equity
34,241,1347 Capital Corp,[text] [html],425,05/31/2016,39571,/Archives/edgar/data/1606163/000114420416105875/0001144204-16-105875-index.htm,0001606163,lmb US Equity
35,152,1347 Capital Corp,[text] [html],S-4/A,05/19/2016,3954396,/Archives/edgar/data/1606163/000114420416103705/0001144204-16-103705-index.htm,0001606163,lmb US Equity
36,152,1347 Capital Corp,[text] [html],CORRESP,05/19/2016,92913,/Archives/edgar/data/1606163/000114420416103707/0001144204-16-103707-index.htm,0001606163,lmb US Equity
37,152,1347 Capital Corp,[text] [html],10-Q,05/09/2016,1558647,/Archives/edgar/data/1606163/000114420416099889/0001144204-16-099889-index.htm,0001606163,lmb US Equity
38,241,1347 Capital Corp,[text] [html],425,04/25/2016,5475132,/Archives/edgar/data/1606163/000114420416095905/0001144204-16-095905-index.htm,0001606163,lmb US Equity
39,152,1347 Capital Corp,[text] [html],8-K,04/25/2016,5085687,/Archives/edgar/data/1606163/000114420416095899/0001144204-16-095899-index.htm,0001606163,lmb US Equity
40,152,1347 Capital Corp,[text] [html],S-4,04/15/2016,3726072,/Archives/edgar/data/1606163/000114420416094638/0001144204-16-094638-index.htm,0001606163,lmb US Equity
41,152,1347 Capital Corp,[text] [html],8-K,03/29/2016,679160,/Archives/edgar/data/1606163/000114420416090921/0001144204-16-090921-index.htm,0001606163,lmb US Equity
42,241,1347 Capital Corp,[text] [html],425,03/29/2016,679482,/Archives/edgar/data/1606163/000114420416090922/0001144204-16-090922-index.htm,0001606163,lmb US Equity
43,241,1347 Capital Corp,[text] [html],425,03/23/2016,58263,/Archives/edgar/data/1606163/000114420416089703/0001144204-16-089703-index.htm,0001606163,lmb US Equity
44,152,1347 Capital Corp,[text] [html],8-K,03/23/2016,72417,/Archives/edgar/data/1606163/000114420416089694/0001144204-16-089694-index.htm,0001606163,lmb US Equity
45,152,1347 Capital Corp,[text] [html],10-K,03/21/2016,1905828,/Archives/edgar/data/1606163/000114420416089184/0001144204-16-089184-index.htm,0001606163,lmb US Equity
46,152,1347 Capital Corp,[text] [html],SC 13G/A,02/16/2016,29859,/Archives/edgar/data/1606163/000108514616003301/0001085146-16-003301-index.htm,0001167557,NOT IN LIST
47,152,1347 Capital Corp,[text] [html],SC 13G,02/16/2016,93879,/Archives/edgar/data/1606163/000110465916096878/0001104659-16-096878-index.htm,0001326638,NOT IN LIST
48,152,1347 Capital Corp,[text] [html],SC 13G/A,02/16/2016,29859,/Archives/edgar/data/1606163/000108514616003278/0001085146-16-003278-index.htm,0001167557,NOT IN LIST
49,152,1347 Capital Corp,[text] [html],SC 13G/A,02/16/2016,22674,/Archives/edgar/data/1606163/000106299316007899/0001062993-16-007899-index.htm,0001326389,NOT IN LIST
50,152,1347 Capital Corp,[text] [html],8-K,01/12/2016,14860,/Archives/edgar/data/1606163/000114420416075239/0001144204-16-075239-index.htm,0001606163,lmb US Equity
51,152,1347 Capital Corp,[text] [html],8-K,12/23/2015,19423,/Archives/edgar/data/1606163/000114420415072574/0001144204-15-072574-index.htm,0001606163,lmb US Equity
52,152,1347 Capital Corp,[text] [html],DEF 14A,12/11/2015,371202,/Archives/edgar/data/1606163/000114420415070432/0001144204-15-070432-index.htm,0001606163,lmb US Equity
53,152,1347 Capital Corp,[text] [html],10-Q,11/12/2015,1471633,/Archives/edgar/data/1606163/000114420415064765/0001144204-15-064765-index.htm,0001606163,lmb US Equity
54,152,1347 Capital Corp,[text] [html],10-Q,08/12/2015,1458431,/Archives/edgar/data/1606163/000114420415048537/0001144204-15-048537-index.htm,0001606163,lmb US Equity
55,152,1347 Capital Corp,[text] [html],8-K,07/20/2015,16854,/Archives/edgar/data/1606163/000114420415043249/0001144204-15-043249-index.htm,0001606163,lmb US Equity
56,152,1347 Capital Corp,[text] [html],SC 13G,06/18/2015,77383,/Archives/edgar/data/1606163/000119312515226613/0001193125-15-226613-index.htm,0001357550,NOT IN LIST
57,152,1347 Capital Corp,[text] [html],10-Q,05/08/2015,1893546,/Archives/edgar/data/1606163/000114420415028842/0001144204-15-028842-index.htm,0001606163,lmb US Equity
58,152,1347 Capital Corp,[text] [html],10-K,03/10/2015,2322460,/Archives/edgar/data/1606163/000114420415015101/0001144204-15-015101-index.htm,0001606163,lmb US Equity
59,152,1347 Capital Corp,[text] [html],SC 13D/A,02/25/2015,85407,/Archives/edgar/data/1606163/000091476015000072/0000914760-15-000072-index.htm,0001606163,lmb US Equity
60,152,1347 Capital Corp,[text] [html],SC 13G,02/17/2015,45997,/Archives/edgar/data/1606163/000090266415001156/0000902664-15-001156-index.htm,0001056491,NOT IN LIST
61,152,1347 Capital Corp,[text] [html],SC 13G,02/17/2015,26471,/Archives/edgar/data/1606163/000108514615000638/0001085146-15-000638-index.htm,0001167557,NOT IN LIST
62,152,1347 Capital Corp,[text] [html],SC 13G/A,02/17/2015,16008,/Archives/edgar/data/1606163/000107680915000008/0001076809-15-000008-index.htm,0001076809,NOT IN LIST
63,152,1347 Capital Corp,[text] [html],SC 13G/A,02/13/2015,58023,/Archives/edgar/data/1606163/000106299315000813/0001062993-15-000813-index.htm,0001326389,NOT IN LIST
64,152,1347 Capital Corp,[text] [html],SC 13G,02/12/2015,93092,/Archives/edgar/data/1606163/000110465915009238/0001104659-15-009238-index.htm,0001326638,NOT IN LIST
65,152,1347 Capital Corp,[text] [html],4,02/10/2015,4360,/Archives/edgar/data/1606163/000091476015000030/0000914760-15-000030-index.htm,0001409889,NOT IN LIST
66,152,1347 Capital Corp,[text] [html],4,02/10/2015,4353,/Archives/edgar/data/1606163/000091476015000031/0000914760-15-000031-index.htm,0001584349,NOT IN LIST
67,152,1347 Capital Corp,[text] [html],4,02/10/2015,4419,/Archives/edgar/data/1606163/000091476015000032/0000914760-15-000032-index.htm,0001602009,NOT IN LIST
68,152,1347 Capital Corp,[text] [html],4,02/10/2015,13080,/Archives/edgar/data/1606163/000091476015000025/0000914760-15-000025-index.htm,0001529638,NOT IN LIST
69,152,1347 Capital Corp,[text] [html],4,02/10/2015,12961,/Archives/edgar/data/1606163/000091476015000026/0000914760-15-000026-index.htm,0001409891,NOT IN LIST
70,152,1347 Capital Corp,[text] [html],4,02/10/2015,12620,/Archives/edgar/data/1606163/000091476015000027/0000914760-15-000027-index.htm,0001606163,lmb US Equity
71,152,1347 Capital Corp,[text] [html],4,02/10/2015,4347,/Archives/edgar/data/1606163/000091476015000028/0000914760-15-000028-index.htm,0001409890,NOT IN LIST
72,152,1347 Capital Corp,[text] [html],4,02/10/2015,4349,/Archives/edgar/data/1606163/000091476015000029/0000914760-15-000029-index.htm,0001606163,lmb US Equity
73,152,1347 Capital Corp,[text] [html],10-Q,10/20/2014,1697269,/Archives/edgar/data/1606163/000114420414061926/0001144204-14-061926-index.htm,0001606163,lmb US Equity
74,152,1347 Capital Corp,[text] [html],10-Q,08/14/2014,1471508,/Archives/edgar/data/1606163/000114420414050153/0001144204-14-050153-index.htm,0001606163,lmb US Equity
75,152,1347 Capital Corp,[text] [html],8-K,08/06/2014,31785,/Archives/edgar/data/1606163/000114420414047154/0001144204-14-047154-index.htm,0001606163,lmb US Equity
76,152,1347 Capital Corp,[text] [html],SC 13D,07/31/2014,95538,/Archives/edgar/data/1606163/000091476014000068/0000914760-14-000068-index.htm,0001606163,lmb US Equity
77,152,1347 Capital Corp,[text] [html],SC 13G,07/28/2014,15623,/Archives/edgar/data/1606163/000107680914000009/0001076809-14-000009-index.htm,0001076809,NOT IN LIST
78,152,1347 Capital Corp,[text] [html],8-K,07/25/2014,81785,/Archives/edgar/data/1606163/000114420414044953/0001144204-14-044953-index.htm,0001606163,lmb US Equity
79,152,1347 Capital Corp,[text] [html],SC 13G,07/25/2014,59915,/Archives/edgar/data/1606163/000106299314004368/0001062993-14-004368-index.htm,0001326389,NOT IN LIST
80,152,1347 Capital Corp,[text] [html],SC 13G,07/24/2014,147584,/Archives/edgar/data/1606163/000090266414003240/0000902664-14-003240-index.htm,0000928549,NOT IN LIST
81,152,1347 Capital Corp,[text] [html],4,07/23/2014,21486,/Archives/edgar/data/1606163/000091476014000062/0000914760-14-000062-index.htm,0001409891,NOT IN LIST
82,152,1347 Capital Corp,[text] [html],4,07/23/2014,21610,/Archives/edgar/data/1606163/000091476014000063/0000914760-14-000063-index.htm,0001606163,lmb US Equity
83,152,1347 Capital Corp,[text] [html],4,07/23/2014,21631,/Archives/edgar/data/1606163/000091476014000064/0000914760-14-000064-index.htm,0001529638,NOT IN LIST
84,152,1347 Capital Corp,[text] [html],8-K,07/21/2014,1278935,/Archives/edgar/data/1606163/000114420414043964/0001144204-14-043964-index.htm,0001606163,lmb US Equity
85,152,1347 Capital Corp,[text] [html],424B4,07/16/2014,1371966,/Archives/edgar/data/1606163/000114420414043307/0001144204-14-043307-index.htm,0001606163,lmb US Equity
86,152,1347 Capital Corp,[text] [html],3,07/15/2014,7739,/Archives/edgar/data/1606163/000091476014000060/0000914760-14-000060-index.htm,0001409890,NOT IN LIST
87,152,1347 Capital Corp,[text] [html],3,07/15/2014,7666,/Archives/edgar/data/1606163/000091476014000053/0000914760-14-000053-index.htm,0001606163,lmb US Equity
88,152,1347 Capital Corp,[text] [html],EFFECT,07/15/2014,1615,/Archives/edgar/data/1606163/999999999514002134/9999999995-14-002134-index.htm,0001606163,lmb US Equity
89,152,1347 Capital Corp,[text] [html],3,07/15/2014,8600,/Archives/edgar/data/1606163/000091476014000054/0000914760-14-000054-index.htm,0001529638,NOT IN LIST
90,152,1347 Capital Corp,[text] [html],3,07/15/2014,7888,/Archives/edgar/data/1606163/000091476014000055/0000914760-14-000055-index.htm,0001602009,NOT IN LIST
91,152,1347 Capital Corp,[text] [html],3,07/15/2014,8207,/Archives/edgar/data/1606163/000091476014000056/0000914760-14-000056-index.htm,0001584349,NOT IN LIST
92,152,1347 Capital Corp,[text] [html],3,07/15/2014,21675,/Archives/edgar/data/1606163/000091476014000057/0000914760-14-000057-index.htm,0001606163,lmb US Equity
93,152,1347 Capital Corp,[text] [html],3,07/15/2014,7752,/Archives/edgar/data/1606163/000091476014000058/0000914760-14-000058-index.htm,0001409889,NOT IN LIST
94,152,1347 Capital Corp,[text] [html],3,07/15/2014,8658,/Archives/edgar/data/1606163/000091476014000059/0000914760-14-000059-index.htm,0001409891,NOT IN LIST
95,152,1347 Capital Corp,[text] [html],CORRESP,07/14/2014,5950,/Archives/edgar/data/1606163/000114420414042841/0001144204-14-042841-index.htm,0001606163,lmb US Equity
96,152,1347 Capital Corp,[text] [html],8-A12B,07/14/2014,26074,/Archives/edgar/data/1606163/000114420414042851/0001144204-14-042851-index.htm,0001606163,lmb US Equity
97,152,1347 Capital Corp,[text] [html],CERTNAS,07/14/2014,1229,/Archives/edgar/data/1606163/999999999714011913/9999999997-14-011913-index.htm,0001606163,lmb US Equity
98,152,1347 Capital Corp,[text] [html],CORRESP,07/14/2014,10958,/Archives/edgar/data/1606163/000114420414042837/0001144204-14-042837-index.htm,0001606163,lmb US Equity
99,152,1347 Capital Corp,[text] [html],CORRESP,07/14/2014,7012,/Archives/edgar/data/1606163/000114420414042839/0001144204-14-042839-index.htm,0001606163,lmb US Equity
100,152,1347 Capital Corp,[text] [html],S-1/A,06/30/2014,2832741,/Archives/edgar/data/1606163/000114420414040190/0001144204-14-040190-index.htm,0001606163,lmb US Equity
101,152,1347 Capital Corp,[text] [html],S-1/A,06/30/2014,2832741,/Archives/edgar/data/1606163/000114420414040190/0001144204-14-040190-index.htm,0001606163,lmb US Equity
102,152,1347 Capital Corp,[text] [html],CORRESP,06/27/2014,42471,/Archives/edgar/data/1606163/000114420414040192/0001144204-14-040192-index.htm,0001606163,lmb US Equity
103,152,1347 Capital Corp,[text] [html],UPLOAD,06/25/2014,293592,/Archives/edgar/data/1606163/000000000014032251/0000000000-14-032251-index.htm,0001606163,lmb US Equity
104,152,1347 Capital Corp,[text] [html],CORRESP,06/06/2014,62156,/Archives/edgar/data/1606163/000114420414036320/0001144204-14-036320-index.htm,0001606163,lmb US Equity
105,152,1347 Capital Corp,[text] [html],S-1/A,06/06/2014,1450802,/Archives/edgar/data/1606163/000114420414036288/0001144204-14-036288-index.htm,0001606163,lmb US Equity
106,152,1347 Capital Corp,[text] [html],UPLOAD,06/02/2014,315796,/Archives/edgar/data/1606163/000000000014027752/0000000000-14-027752-index.htm,0001606163,lmb US Equity
107,152,1347 Capital LLC,[text] [html],4,08/04/2016,15856,/Archives/edgar/data/1612412/000114420416116431/0001144204-16-116431-index.htm,0001606163,lmb US Equity
108,152,1347 Capital LLC,[text] [html],4,02/10/2015,12620,/Archives/edgar/data/1612412/000091476015000027/0000914760-15-000027-index.htm,0001606163,lmb US Equity
109,152,1347 Capital LLC,[text] [html],4,07/23/2014,21610,/Archives/edgar/data/1612412/000091476014000063/0000914760-14-000063-index.htm,0001606163,lmb US Equity
110,152,1347 Capital LLC,[text] [html],3,07/15/2014,21675,/Archives/edgar/data/1612412/000091476014000057/0000914760-14-000057-index.htm,0001606163,lmb US Equity
111,152,1347 Investors LLC,[text] [html],SC 13D/A,08/05/2016,1169600,/Archives/edgar/data/1612411/000114420416116840/0001144204-16-116840-index.htm,0001606163,lmb US Equity
112,152,1347 Investors LLC,[text] [html],4,08/04/2016,19300,/Archives/edgar/data/1612411/000114420416116436/0001144204-16-116436-index.htm,0001606163,lmb US Equity
113,152,1347 Investors LLC,[text] [html],4,07/21/2016,6070,/Archives/edgar/data/1612411/000114420416113955/0001144204-16-113955-index.htm,0001606163,lmb US Equity
114,152,1347 Investors LLC,[text] [html],SC 13D/A,02/25/2015,85407,/Archives/edgar/data/1612411/000091476015000072/0000914760-15-000072-index.htm,0001606163,lmb US Equity
115,152,1347 Investors LLC,[text] [html],4,02/10/2015,12620,/Archives/edgar/data/1612411/000091476015000027/0000914760-15-000027-index.htm,0001606163,lmb US Equity
116,152,1347 Investors LLC,[text] [html],SC 13D,07/31/2014,95538,/Archives/edgar/data/1612411/000091476014000068/0000914760-14-000068-index.htm,0001606163,lmb US Equity
117,152,1347 Investors LLC,[text] [html],4,07/23/2014,21610,/Archives/edgar/data/1612411/000091476014000063/0000914760-14-000063-index.htm,0001606163,lmb US Equity
118,152,1347 Investors LLC,[text] [html],3,07/15/2014,21675,/Archives/edgar/data/1612411/000091476014000057/0000914760-14-000057-index.htm,0001606163,lmb US Equity
119,152,1397225 Ontario Ltd,[text] [html],3,12/30/2019,12297,/Archives/edgar/data/1798354/000138713119009964/0001387131-19-009964-index.htm,0000937567,NOT IN LIST
120,152,1600624 Ontario Inc.,[text] [html],3,05/17/2007,4682,/Archives/edgar/data/1399556/000092963807000308/0000929638-07-000308-index.htm,0001368879,NOT IN LIST
121,152,161 STREET & RIVER LLC,[text] [html],4,10/11/2002,11894,/Archives/edgar/data/1187794/000111650202001469/0001116502-02-001469-index.htm,0001119190,NOT IN LIST
122,152,161 STREET & RIVER LLC,[text] [html],SC 13G/A,10/11/2002,12855,/Archives/edgar/data/1187794/000111650202001473/0001116502-02-001473-index.htm,0001119190,NOT IN LIST
123,152,161 STREET & RIVER LLC,[text] [html],3,09/11/2002,9520,/Archives/edgar/data/1187794/000111650202001346/0001116502-02-001346-index.htm,0001119190,NOT IN LIST
124,152,161 STREET & RIVER LLC,[text] [html],SC 13G,09/11/2002,10026,/Archives/edgar/data/1187794/000111650202001344/0001116502-02-001344-index.htm,0001119190,NOT IN LIST
125,152,"1701 Productions, Inc.",[text] [html],3,09/24/2015,3606,/Archives/edgar/data/1558916/000102143215000900/0001021432-15-000900-index.htm,0001558916,NOT IN LIST
126,152,"1701 Productions, Inc.",[text] [html],SC 13G/A,09/24/2015,8311,/Archives/edgar/data/1558916/000102143215000830/0001021432-15-000830-index.htm,0001558916,NOT IN LIST
127,152,"1701 Productions, Inc.",[text] [html],4,09/24/2015,4513,/Archives/edgar/data/1558916/000102143215000901/0001021432-15-000901-index.htm,0001558916,NOT IN LIST
128,152,"1701 Productions, Inc.",[text] [html],SC 13G,09/24/2015,8235,/Archives/edgar/data/1558916/000102143215000829/0001021432-15-000829-index.htm,0001558916,NOT IN LIST
129,152,"1701 Productions, Inc.",[text] [html],SC 13G,09/16/2015,8037,/Archives/edgar/data/1558916/000102143215000372/0001021432-15-000372-index.htm,0001450604,NOT IN LIST
130,152,"1701 Productions, Inc.",[text] [html],SC 13G,09/16/2015,8048,/Archives/edgar/data/1558916/000102143215000373/0001021432-15-000373-index.htm,0001084458,NOT IN LIST
131,152,"1701 Productions, Inc.",[text] [html],SC 13G,09/16/2015,8295,/Archives/edgar/data/1558916/000102143215000374/0001021432-15-000374-index.htm,0001435910,NOT IN LIST
132,152,"1701 Productions, Inc.",[text] [html],SC 13G/A,09/16/2015,8123,/Archives/edgar/data/1558916/000102143215000375/0001021432-15-000375-index.htm,0001450604,NOT IN LIST
133,152,"1701 Productions, Inc.",[text] [html],SC 13G/A,09/16/2015,8118,/Archives/edgar/data/1558916/000102143215000376/0001021432-15-000376-index.htm,0001084458,NOT IN LIST
134,152,"1701 Productions, Inc.",[text] [html],SC 13G/A,09/16/2015,8364,/Archives/edgar/data/1558916/000102143215000377/0001021432-15-000377-index.htm,0001435910,NOT IN LIST
135,152,"1701 Productions, Inc.",[text] [html],4,02/20/2014,4545,/Archives/edgar/data/1558916/000102143214000080/0001021432-14-000080-index.htm,0001084458,NOT IN LIST
136,152,"1701 Productions, Inc.",[text] [html],4,02/20/2014,4505,/Archives/edgar/data/1558916/000102143214000081/0001021432-14-000081-index.htm,0001435910,NOT IN LIST
137,152,"1701 Productions, Inc.",[text] [html],4,02/20/2014,4538,/Archives/edgar/data/1558916/000102143214000101/0001021432-14-000101-index.htm,0001450604,NOT IN LIST
138,152,"1701 Productions, Inc.",[text] [html],10-Q,11/18/2013,127630,/Archives/edgar/data/1558916/000114420413062707/0001144204-13-062707-index.htm,0001558916,NOT IN LIST
139,152,"1701 Productions, Inc.",[text] [html],NT 10-Q,11/14/2013,5358,/Archives/edgar/data/1558916/000102143213000279/0001021432-13-000279-index.htm,0001558916,NOT IN LIST
140,152,"1701 Productions, Inc.",[text] [html],8-K,09/13/2013,6801,/Archives/edgar/data/1558916/000102143213000241/0001021432-13-000241-index.htm,0001558916,NOT IN LIST
141,152,180 Connect Inc.,[text] [html],SC 13D/A,02/19/2008,659139,/Archives/edgar/data/1323639/000114420408010571/0001144204-08-010571-index.htm,0001113524,NOT IN LIST
142,152,180 Connect Inc.,[text] [html],SC 13D,02/01/2008,7342003,/Archives/edgar/data/1323639/000114420408005807/0001144204-08-005807-index.htm,0001113524,NOT IN LIST
143,152,180 Connect Inc.,[text] [html],4,02/01/2008,5859,/Archives/edgar/data/1323639/000114420408005810/0001144204-08-005810-index.htm,0001113524,NOT IN LIST
144,152,180 Connect Inc.,[text] [html],3,01/31/2008,4082,/Archives/edgar/data/1323639/000114420408005477/0001144204-08-005477-index.htm,0001113524,NOT IN LIST
145,152,180 Connect Inc.,[text] [html],SC 13G,09/14/2007,23541,/Archives/edgar/data/1323639/000114420407049494/0001144204-07-049494-index.htm,0001189294,NOT IN LIST
146,152,180 Connect Inc.,[text] [html],POS AM,09/13/2007,148039,/Archives/edgar/data/1323639/000095014407008550/0000950144-07-008550-index.htm,0001323639,NOT IN LIST
147,152,180 Connect Inc.,[text] [html],POS AM,09/13/2007,135762,/Archives/edgar/data/1323639/000095014407008551/0000950144-07-008551-index.htm,0001323639,NOT IN LIST
148,152,180 Connect Inc.,[text] [html],8-K/A,09/11/2007,17567,/Archives/edgar/data/1323639/000095014407008506/0000950144-07-008506-index.htm,0001323639,NOT IN LIST
149,152,180 Connect Inc.,[text] [html],CORRESP,09/11/2007,10069,/Archives/edgar/data/1323639/000095014407008508/0000950144-07-008508-index.htm,0001323639,NOT IN LIST
150,152,180 Connect Inc.,[text] [html],8-K,09/10/2007,150262,/Archives/edgar/data/1323639/000095014407008481/0000950144-07-008481-index.htm,0001323639,NOT IN LIST
151,152,180 Connect Inc.,[text] [html],4,09/06/2007,8066,/Archives/edgar/data/1323639/000117911007017937/0001179110-07-017937-index.htm,0001323639,NOT IN LIST
152,152,180 Connect Inc.,[text] [html],4,09/06/2007,8066,/Archives/edgar/data/1323639/000117911007017938/0001179110-07-017938-index.htm,0001323639,NOT IN LIST
153,152,180 Connect Inc.,[text] [html],4,09/06/2007,8617,/Archives/edgar/data/1323639/000117911007017939/0001179110-07-017939-index.htm,0001323639,NOT IN LIST
154,152,180 Connect Inc.,[text] [html],4,09/06/2007,8638,/Archives/edgar/data/1323639/000117911007017940/0001179110-07-017940-index.htm,0001323639,NOT IN LIST
155,152,180 Connect Inc.,[text] [html],4,09/05/2007,4888,/Archives/edgar/data/1323639/000124323307000028/0001243233-07-000028-index.htm,0001323639,NOT IN LIST
156,152,180 Connect Inc.,[text] [html],SC 13D,09/05/2007,210683,/Archives/edgar/data/1323639/000090514807005912/0000905148-07-005912-index.htm,0001323639,NOT IN LIST
157,152,180 Connect Inc.,[text] [html],3,09/05/2007,13793,/Archives/edgar/data/1323639/000090514807005924/0000905148-07-005924-index.htm,0001323639,NOT IN LIST
158,152,180 Connect Inc.,[text] [html],SC 13D/A,09/04/2007,148288,/Archives/edgar/data/1323639/000114420407047779/0001144204-07-047779-index.htm,0001134492,NOT IN LIST
159,152,180 Connect Inc.,[text] [html],SC 13D,09/04/2007,68279,/Archives/edgar/data/1323639/000113241307000253/0001132413-07-000253-index.htm,0001132413,NOT IN LIST
160,152,180 Connect Inc.,[text] [html],4,08/30/2007,9147,/Archives/edgar/data/1323639/000124323307000026/0001243233-07-000026-index.htm,0001134492,NOT IN LIST
161,152,180 Connect Inc.,[text] [html],8-K,08/30/2007,10062,/Archives/edgar/data/1323639/000095014407008305/0000950144-07-008305-index.htm,0001323639,NOT IN LIST
162,152,180 Connect Inc.,[text] [html],SC 13D/A,08/30/2007,147884,/Archives/edgar/data/1323639/000114420407047328/0001144204-07-047328-index.htm,0001134492,NOT IN LIST
