Name,Industry,Ticker,Total,Governance,Social,Environment,Date
Polymetal International,Metals & Mining,POYYF US Equity,67.0,56.3,67.9,71.7,Sep-16
Porsche,Automobiles & Components,POAHF US Equity,74.4,50.8,99.7,75.0,Sep-16
Praxair Inc,Chemicals,PX US Equity,81.9,83.3,99.8,63.3,Sep-16
Procter & Gamble,Household & Personal Care,PG US Equity,61.4,68.5,51.7,61.2,Sep-16
Prosiebensat1 Media,Media,PBSFF US Equity,45.2,71.7,53.3,0.0,Sep-16
Provident Financial,General Financials,FPLPF US Equity,65.5,60.0,87.5,50.0,Sep-16
Proximus,Telecom Services,BGAOF US Equity,64.9,65.6,62.1,70.0,Sep-16
Prudential,Insurance,PUKPF US Equity,60.1,66.1,67.1,32.5,Sep-16
Publicis Groupe,Media,PGPEF US Equity,51.7,69.8,47.2,40.9,Sep-16
PZU,Insurance,PWZYF US Equity,56.4,53.9,90.0,0.0,Sep-16
Raiffeisen Bank International,Banks,RAIFF US Equity,82.9,84.4,70.0,100.0,Sep-16
Reckitt Benckiser,Household & Personal Care,RBGPF US Equity,59.9,76.2,58.0,48.5,Sep-16
Red Electrica,Utilities,REE LN Equity,77.5,72.2,92.9,56.8,Sep-16
RELX NV,Media,RDLSF US Equity,62.9,99.8,50.7,47.3,Sep-16
RELX PLC,Media,RLXXF US Equity,62.9,99.8,50.7,47.3,Sep-16
Rémy Cointreau,Beverages,REMYF US Equity,60.2,50.0,76.7,52.9,Sep-16
Renault,Automobiles & Components,RNSDF US Equity,70.3,83.3,75.5,46.7,Sep-16
Repsol,Oil & Gas,REPYF US Equity,78.6,67.9,86.0,73.8,Sep-16
Rexel,Capital Goods,RXLSF US Equity,69.0,67.9,80.0,50.0,Sep-16
Richemont,Luxury Goods,CFRHF US Equity,62.5,99.8,66.7,23.1,Sep-16
Rio Tinto,Metals & Mining,RTPPF US Equity,81.3,100.0,76.5,76.7,Sep-16
Roche,Pharmaceuticals & Biotechnology,RHHVF US Equity,69.3,85.3,53.4,No data,Sep-16
Rolls-Royce,Aerospace & Defence,RYCEF US Equity,70.1,78.7,83.5,41.7,Sep-16
Rotork Plc,Capital Goods,RTOXF US Equity,47.5,61.4,60.8,17.2,Sep-16
Rowan Companies plc,Oil Services,RDC US Equity,64.4,92.9,54.5,50.0,Sep-16
Royal Bank of Scotland,Banks,RBSPF US Equity,55.3,50.0,50.0,80.0,Sep-16
Royal Dutch Shell,Oil & Gas,RYDBF US Equity,77.6,85.5,84.7,48.1,Sep-16
RTL Group,Media,RGLXF US Equity,45.2,70.8,51.1,5.5,Sep-16
SABMiller,Beverages,SBWRF US Equity,60.1,77.3,76.7,31.1,Sep-16
Sacyr,Construction & Building Materials,SYRVF US Equity,57.9,42.9,72.0,44.4,Sep-16
Safran,Aerospace & Defence,SAFRF US Equity,54.0,62.4,83.1,8.3,Sep-16
Sage Group,Software & IT Services,SGGEF US Equity,40.5,77.8,28.9,14.3,Sep-16
Saint-Gobain,Construction & Building Materials,CODGF US Equity,75.8,64.3,88.2,66.7,Sep-16
Saipem,Oil Services,SPEM FP Equity,78.9,78.2,85.9,62.5,Sep-16
Salesforce,Software & IT Services,CRM US Equity,46.8,73.0,28.9,46.4,Sep-16
Salvatore Ferragamo Group,Luxury Goods,SFRGF US Equity,69.2,77.8,80.0,0.0,Sep-16
Salzgitter,Steel,SZGPF US Equity,32.1,50.0,42.4,10.0,Sep-16
Sandvik,Capital Goods,SDVKF US Equity,68.4,67.9,81.5,58.6,Sep-16
Sanofi,Pharmaceuticals & Biotechnology,SNYNF US Equity,77.6,77.2,77.9,No data,Sep-16
Santander,Banks,3195587Q US Equity,44.7,47.2,40.0,45.0,Sep-16
SAP,Software & IT Services,SAPGF US Equity,73.2,72.2,84.4,53.6,Sep-16
Sartorius Stedim Biotech,Health Care Equipment & Services,STDM IX Equity,55.6,44.4,66.7,No data,Sep-16
Sberbank,Banks,AKSJF US Equity,56.7,42.7,73.4,69.5,Sep-16
SBM Offshore,Oil Services,SBFFF US Equity,86.4,94.6,91.5,62.5,Sep-16
SCA,Household & Personal Care,SVCBF US Equity,77.2,92.3,78.3,65.0,Sep-16
Schibsted Media Group,Media,SBSNF US Equity,88.6,100.0,87.5,0.0,Sep-16
Schlumberger,Oil Services,SLB US Equity,77.7,77.3,77.0,80.0,Sep-16
Schneider,Capital Goods,SBGSF US Equity,90.3,93.9,83.9,90.9,Sep-16
Schroders PLC,General Financials,SHNWF US Equity,76.2,85.0,58.0,80.0,Sep-16
Scor,Insurance,SZCRF US Equity,60.0,61.1,87.5,20.0,Sep-16
Seadrill,Oil Services,9999998D US Equity,50.1,67.9,40.4,50.0,Sep-16
SEB,Banks,SVKEF US Equity,91.6,96.5,83.7,90.0,Sep-16
Segro PLC,Real Estate,SEGXF US Equity,57.7,75.0,87.5,31.9,Sep-16
Severn Trent,Utilities,SVTRF US Equity,70.3,100.0,72.6,42.3,Sep-16
Severstal,Steel,SVJTY US Equity,15.3,50.0,8.3,8.3,Sep-16
SFR Group,Telecom Services,NUMCF US Equity,56.9,66.7,73.6,12.7,Sep-16
SGS,Commercial Services & Supplies,SGSOF US Equity,70.8,76.9,67.4,69.4,Sep-16
Siemens,Capital Goods,SMAWF US Equity,72.3,63.5,79.4,75.0,Sep-16
SKF,Capital Goods,SKUFF US Equity,82.0,67.9,88.8,90.7,Sep-16
Sky,Media,BSYBF US Equity,64.2,82.3,63.2,46.4,Sep-16
Smiths Group,Capital Goods,SMGKF US Equity,60.9,81.7,72.4,33.3,Sep-16
Sodexo,Hotels Restaurants & Leisure,SDXOF US Equity,65.1,66.7,68.6,59.1,Sep-16
Software AG,Software & IT Services,SOW PZ Equity,45.7,77.8,38.5,17.9,Sep-16
Solvay SA,Chemicals,SVYSF US Equity,64.8,83.3,86.3,34.2,Sep-16
South32,Metals & Mining,SHTLF US Equity,49.3,87.5,57.7,19.3,Sep-16
SSE,Utilities,SSEZF US Equity,69.4,99.7,77.2,31.8,Sep-16
Stabilus,Automobiles & Components,SIUAF US Equity,37.3,35.7,47.8,30.7,Sep-16
Standard Chartered,Banks,SCBFF US Equity,72.9,75.0,59.0,90.0,Sep-16
Standard Life,Insurance,T3V1 GR Equity,64.3,74.4,67.1,30.0,Sep-16
Statoil,Oil & Gas,STOHF US Equity,84.0,90.6,90.1,59.0,Sep-16
Steinhoff International,Non Food Retail,SNHFF US Equity,73.0,77.1,85.0,16.7,Sep-16
Subsea 7,Oil Services,ACGYF US Equity,65.8,73.4,62.9,62.5,Sep-16
Suez,Utilities,SZEVF US Equity,76.4,83.3,82.6,60.5,Sep-16
Svenska Handelsbanken,Banks,SVNLF US Equity,75.3,72.2,84.0,70.0,Sep-16
Swatch Group,Luxury Goods,SWGAF US Equity,47.9,70.6,54.2,19.2,Sep-16
Swedbank,Banks,SWDBF US Equity,72.6,76.1,73.7,60.0,Sep-16
Swedish Match,Tobacco,SWMAF US Equity,76.7,99.6,77.7,57.9,Sep-16
Swiss RE,Insurance,SSREF US Equity,88.7,88.9,79.6,100.0,Sep-16
Swisscom,Telecom Services,SWZCF US Equity,70.3,100.0,57.0,72.7,Sep-16
Symrise,Chemicals,SYIEF US Equity,80.4,100.0,93.6,57.5,Sep-16
Talanx,Insurance,TNXXF US Equity,46.3,42.2,75.0,20.0,Sep-16
TalkTalk,Telecom Services,TLKTF US Equity,45.2,75.0,43.9,30.5,Sep-16
Tate & Lyle plc,Food,TATYF US Equity,69.4,100.0,67.5,47.1,Sep-16
Tauron,Utilities,TPE PW Equity,64.5,75.0,70.6,43.8,Sep-16
TDC,Telecom Services,TDCAF US Equity,51.1,62.2,54.0,36.4,Sep-16
Tele2,Telecom Services,TLTZF US Equity,48.7,99.7,47.1,10.0,Sep-16
Telecom Italia Spa,Telecom Services,TIAOF US Equity,73.7,99.7,61.4,77.3,Sep-16
Telefónica Deutschland Holding AG,Telecom Services,TELDF US Equity,82.6,94.4,77.1,83.6,Sep-16
Telenet,Telecom Services,TLGHF US Equity,69.9,83.3,75.1,45.0,Sep-16
Telenor AS,Telecom Services,TELNF US Equity,63.3,83.3,54.0,65.5,Sep-16
Teleperformance,Commercial Services & Supplies,TLPFF US Equity,50.3,45.0,76.2,27.0,Sep-16
Telia Company AB,Telecom Services,TLSNF US Equity,61.3,73.3,54.1,65.9,Sep-16
Tesco,Food Retailing,TSCDF US Equity,66.6,83.3,53.3,79.3,Sep-16
TF1,Media,TVFCF US Equity,51.3,68.3,63.6,8.2,Sep-16
Thales,Aerospace & Defence,THLEF US Equity,76.1,65.8,99.5,66.7,Sep-16
The Coca-Cola Company,Beverages,KO US Equity,60.7,59.1,71.5,51.8,Sep-16
The Hershey Company,Food,HSY US Equity,68.7,77.9,64.9,65.0,Sep-16
Tod's SPA,Luxury Goods,TODGF US Equity,69.6,66.7,85.0,16.7,Sep-16
Total,Oil & Gas,TTFNF US Equity,78.1,54.6,91.5,75.0,Sep-16
Tullett Prebon,General Financials,TULLF US Equity,65.1,45.8,75.0,100.0,Sep-16
Twenty-First Century Fox,Media,NWS/A EO Equity,25.0,42.5,26.1,3.6,Sep-16
UBI Banca,Banks,BPPUF US Equity,69.7,51.7,84.0,100.0,Sep-16
UBM,Media,UNWS VX Equity,44.8,83.1,45.0,2.7,Sep-16
UBS AG,Banks,UBS US Equity,77.4,83.3,59.0,90.0,Sep-16
UC Rusal Plc,Metals & Mining,RUALF US Equity,58.1,20.0,65.8,73.3,Sep-16
Unibail-Rodamco,Real Estate,1649599D US Equity,85.9,100.0,100.0,70.0,Sep-16
UniCredit SpA,Banks,UCG PZ Equity,67.1,61.7,69.0,80.0,Sep-16
Unilever NV,Food,UNLNF US Equity,72.2,92.3,66.7,59.7,Sep-16
United Utilities,Utilities,UUGWF US Equity,80.5,100.0,94.1,42.3,Sep-16
Vakifbank,Banks,TKYVF US Equity,55.2,46.7,75.0,50.0,Sep-16
Vallourec,Capital Goods,VLOUF US Equity,74.8,67.1,95.2,66.4,Sep-16
Veolia Environnement,Utilities,VEOEF US Equity,61.6,55.6,63.9,62.7,Sep-16
Verbund,Utilities,OEZVF US Equity,81.5,94.4,80.4,72.7,Sep-16
Vestas Wind Systems,Capital Goods,VWSYF US Equity,96.9,96.9,100.0,94.6,Sep-16
Viacom Inc.,Media,VIAB US Equity,37.6,55.0,46.8,0.0,Sep-16
Vicat,Construction & Building Materials,SDCIF US Equity,54.5,21.4,75.4,50.0,Sep-16
Vilmorin et Cie,Food,VLMFF US Equity,67.7,75.0,81.8,25.0,Sep-16
Vinci,Construction & Building Materials,VCISF US Equity,60.0,51.4,63.1,61.1,Sep-16
Viscofan SA,Food,VSCFF US Equity,52.1,43.8,81.8,0.0,Sep-16
Vivendi,Media,VIVEF US Equity,64.4,85.8,74.6,20.9,Sep-16
Vodafone,Telecom Services,VODPF US Equity,64.6,93.3,46.6,77.3,Sep-16
Voestalpine AG,Steel,VLPNF US Equity,56.3,100.0,54.6,32.0,Sep-16
Volkswagen (Pref.),Automobiles & Components,VLKPF US Equity,60.6,58.3,53.6,72.2,Sep-16
Volvo,Capital Goods,VOLVF US Equity,71.3,77.9,65.4,69.3,Sep-16
Vonovia SE,Real Estate,DAIMF US Equity,38.2,70.0,75.0,0.0,Sep-16
VTB Bank,Banks,VTBR LI Equity,48.6,42.7,66.3,40.0,Sep-16
Wacker Chemie,Chemicals,WKCMF US Equity,69.6,50.0,88.2,60.8,Sep-16
Weatherford International Ltd,Oil Services,WFTLF US Equity,72.6,81.6,69.7,67.5,Sep-16
Weir Group,Capital Goods,WEIGF US Equity,69.1,92.9,84.2,33.6,Sep-16
Wendel,Holding & Investment companies,WNDLF US Equity,73.6,58.5,85.0,100.0,Sep-16
Wereldhave,Real Estate,WRDEF US Equity,58.2,90.0,37.5,48.8,Sep-16
Whitbread,Hotels Restaurants & Leisure,WTBCF US Equity,55.0,83.3,53.3,34.1,Sep-16
WM Morrison,Food Retailing,MRWSF US Equity,66.9,93.3,51.1,73.6,Sep-16
Wolseley,Construction & Building Materials,WOS QM Equity,71.6,82.1,70.0,45.0,Sep-16
Wolters Kluwer,Media,WTRWF US Equity,72.3,100.0,67.1,52.7,Sep-16
Workday,Software & IT Services,WDAY US Equity,59.0,84.4,57.7,28.6,Sep-16
WPP GROUP,Media,WPPGF US Equity,60.8,94.8,55.4,34.6,Sep-16
YapiKredi Bank,Banks,YVKBF US Equity,57.2,46.7,67.5,70.0,Sep-16
Zodiac Aerospace,Aerospace & Defence,ZODFF US Equity,57.6,53.0,86.0,33.3,Sep-16
Zurich Insurance Group,Insurance,ZFSVF US Equity,71.8,82.8,67.1,45.0,Sep-16
3i,General Financials,TGOPF US Equity,75.0,88.9,65.0,50.0,Feb-16
Aareal Bank,Banks,AAALF US Equity,76.8,66.1,100.0,70.0,Feb-16
ABB,Capital Goods,ABLZF US Equity,91.1,96.3,90.6,85.0,Feb-16
Aberdeen Asset Management,General Financials,ABDNF US Equity,87.6,88.7,78.0,100.0,Feb-16
Abertis,Construction & Building Materials,ABFOF US Equity,65.8,61.1,82.7,35.7,Feb-16
ABN AMRO,Banks,ABMRF US Equity,79.2,80.5,83.9,73.4,Feb-16
Accenture,Software & IT Services,ACN US Equity,59.4,88.9,53.6,32.1,Feb-16
Accor,Hotels Restaurants & Leisure,ACRFF US Equity,64.4,72.2,72.7,46.8,Feb-16
Acerinox,Steel,ANIOF US Equity,29.5,20.0,34.1,30.0,Feb-16
Ackermans & van Haaren,General Financials,AVHNF US Equity,68.1,48.6,80.9,100.0,Feb-16
Acron,Chemicals,AKRN RM Equity,50.0,33.3,70.8,0.0,Feb-16
ACS,Construction & Building Materials,ACSAF US Equity,67.6,7.1,88.4,77.8,Feb-16
Aegon,Insurance,AEGOF US Equity,76.8,94.3,61.3,45.0,Feb-16
Aena,Transportation,ANNSF US Equity,48.9,46.7,63.1,21.4,Feb-16
Aéroports de Paris,Transportation,AEOPF US Equity,85.5,66.7,100.0,78.6,Feb-16
AG Barr plc,Beverages,GRRXF US Equity,62.5,75.0,81.8,0.0,Feb-16
Ageas,Insurance,AGESF US Equity,46.4,45.0,75.0,12.5,Feb-16
Ahold,Food Retailing,AHOF GR Equity,78.5,93.3,70.4,80.3,Feb-16
Air France-KLM,Transportation,AFRAF US Equity,56.9,53.0,79.7,37.5,Feb-16
Air Liquide,Chemicals,AIQUF US Equity,69.4,70.0,85.2,53.3,Feb-16
Air Products and Chemicals,Chemicals,APD US Equity,70.2,83.3,87.1,46.7,Feb-16
Airbus Group,Aerospace & Defence,EADSF US Equity,71.5,74.9,83.5,52.8,Feb-16
Akbank,Banks,AKBNF US Equity,58.6,53.3,60.0,70.0,Feb-16
AkzoNobel,Chemicals,AKU GR Equity,93.5,100.0,92.1,91.7,Feb-16
Alcatel-Lucent,Technology Hardware,ALALF US Equity,72.4,82.5,62.5,70.0,Feb-16
Allianz SE,Insurance,ALIZF US Equity,83.3,88.2,60.0,100.0,Feb-16
Alrosa,Metals & Mining,ARRLF US Equity,69.4,60.0,70.4,75.0,Feb-16
Alstom,Capital Goods,AOMFF US Equity,72.7,58.8,87.5,77.9,Feb-16
Alten,Software & IT Services,ABLGF US Equity,43.1,66.7,41.7,0.0,Feb-16
Altran Technologies,Software & IT Services,ALTKF US Equity,41.7,50.0,41.7,25.0,Feb-16
Amec Foster Wheeler,Oil Services,AMCBF US Equity,85.3,88.6,77.6,100.0,Feb-16
Anadarko Petroleum Corp,Oil & Gas,APC US Equity,43.3,50.0,44.9,30.0,Feb-16
Andritz AG,Capital Goods,ADRZF US Equity,61.3,69.3,82.0,37.1,Feb-16
Anglo American,Metals & Mining,AAUKF US Equity,86.8,100.0,77.7,90.0,Feb-16
Anheuser-Busch InBev,Beverages,AHBIF US Equity,71.3,81.4,79.2,56.1,Feb-16
Apache Corp,Oil & Gas,APA US Equity,63.7,68.8,73.8,30.0,Feb-16
Aperam,Steel,APMSF US Equity,71.4,41.7,87.1,72.0,Feb-16
Apple,Technology Hardware,AAPL US Equity,69.5,78.9,59.1,70.0,Feb-16
ArcelorMittal,Steel,MT VX Equity,73.6,83.3,87.9,52.0,Feb-16
Areva,Capital Goods,ARVCF US Equity,57.0,61.1,73.2,39.3,Feb-16
Arkema,Chemicals,ARKAF US Equity,64.6,51.7,82.3,53.3,Feb-16
Aryzta,Food,ARZTF US Equity,50.7,62.7,69.0,24.3,Feb-16
Ashmore,General Financials,AJMPF US Equity,87.9,86.7,81.3,100.0,Feb-16
ASOS,Media,ASOMF US Equity,61.9,83.3,63.7,48.3,Feb-16
Assa Abloy,Capital Goods,ASAZF US Equity,81.9,50.0,100.0,80.6,Feb-16
Assic Generali spa,Insurance,ARZGF US Equity,74.1,77.1,74.3,65.0,Feb-16
Associated British Foods,Food,ASBFF US Equity,58.7,80.9,60.8,39.3,Feb-16
AstraZeneca,Pharmaceuticals & Biotechnology,AZNCF US Equity,81.6,94.7,68.4,No data,Feb-16
Atlantia,Construction & Building Materials,ATASF US Equity,59.6,66.7,69.8,28.6,Feb-16
Atlas Copco,Capital Goods,ATCOA SW Equity,84.6,78.6,100.0,78.6,Feb-16
Atos,Software & IT Services,AEXAF US Equity,80.7,88.9,64.6,100.0,Feb-16
Autoliv,Automobiles & Components,ALV US Equity,68.9,69.6,80.9,53.3,Feb-16
AVEVA Group,Software & IT Services,AVEVF US Equity,58.3,100.0,50.0,0.0,Feb-16
Aviva,Insurance,AIVAF US Equity,76.9,85.0,60.0,75.0,Feb-16
Axa,Insurance,AXAHF US Equity,86.8,94.3,60.0,100.0,Feb-16
Axel Springer AG,Media,AXELF US Equity,64.6,87.5,64.8,39.1,Feb-16
BAE Systems,Aerospace & Defence,BAESF US Equity,63.9,90.6,58.2,27.8,Feb-16
Baker Hughes Incorporated,Oil Services,BHI US Equity,81.9,83.6,76.7,92.5,Feb-16
Banco Comercial Portugues,Banks,BCPL LN Equity,60.6,50.6,85.0,50.0,Feb-16
Banco de Sabadell,Banks,BNDSF US Equity,73.8,63.9,94.0,70.0,Feb-16
Banco Popular,Banks,BPESF US Equity,71.2,55.6,100.0,70.0,Feb-16
Bank of America,Banks,BAC US Equity,66.8,71.7,50.0,80.0,Feb-16
Bank of Ireland,Banks,IRLBF US Equity,58.7,58.2,64.7,50.0,Feb-16
Bank Pekao SA,Banks,BKPKF US Equity,68.9,50.0,80.9,100.0,Feb-16
Bank Zachodni WBK,Banks,BKZHF US Equity,69.0,50.0,81.3,100.0,Feb-16
Bankia,Banks,BKIA QM Equity,58.2,39.4,84.7,70.0,Feb-16
Bankinter,Banks,BKIMF US Equity,65.8,60.9,84.0,50.0,Feb-16
Barclays,Banks,BCLYF US Equity,51.5,47.8,50.0,65.0,Feb-16
Barry Callebaut AG,Food,BYCBF US Equity,64.3,75.8,69.2,50.7,Feb-16
BASF SE,Chemicals,BFFAF US Equity,71.0,83.3,74.2,61.7,Feb-16
Bayer AG,Pharmaceuticals & Biotechnology,BAYZF US Equity,75.3,82.6,68.1,No data,Feb-16
BBA Aviation,Transportation,3378575Q US Equity,61.8,99.5,53.9,0.0,Feb-16
BBVA,Banks,BBVXF US Equity,71.9,59.3,83.7,90.0,Feb-16
Beiersdorf,Household & Personal Care,BDRFF US Equity,59.4,50.0,66.7,62.7,Feb-16
BG Group,Oil & Gas,BRGXF US Equity,85.5,86.1,94.5,61.3,Feb-16
BHP Billiton plc,Metals & Mining,BLT VX Equity,85.6,100.0,81.8,82.3,Feb-16
Bic,Household & Personal Care,BICEF US Equity,78.4,65.4,96.9,70.9,Feb-16
BioMérieux,Health Care Equipment & Services,BIM QM Equity,78.6,62.5,100.0,No data,Feb-16
BlackBerry,Technology Hardware,BB US Equity,70.4,75.0,72.5,55.0,Feb-16
BMW,Automobiles & Components,BAMXF US Equity,77.0,76.3,89.1,63.3,Feb-16
BNP Paribas,Banks,BNPQF US Equity,69.1,77.2,51.0,75.0,Feb-16
Boeing,Aerospace & Defence,BA US Equity,60.2,74.3,32.8,68.3,Feb-16
Bombardier,Aerospace & Defence,BDRBF US Equity,74.3,74.3,81.1,66.7,Feb-16
Bourbon,Oil Services,BOUBF US Equity,63.8,66.7,59.0,76.2,Feb-16
Bouygues,Telecom Services,BOUYF US Equity,72.2,42.9,94.4,55.6,Feb-16
BP,Oil & Gas,BPAQF US Equity,72.6,86.1,69.4,62.5,Feb-16
British American Tobacco,Tobacco,BTAFF US Equity,72.0,90.9,73.1,56.1,Feb-16
British Land,Real Estate,BRLAF US Equity,85.9,85.0,100.0,79.4,Feb-16
Britvic plc,Beverages,BTVCF US Equity,76.1,81.3,99.7,16.0,Feb-16
Brown-Forman,Beverages,BF/B US Equity,62.9,81.8,76.9,35.1,Feb-16
BT Group,Telecom Services,BTGOF US Equity,54.3,93.3,26.8,77.3,Feb-16
Burberry Group,Luxury Goods,BBRYF US Equity,51.8,77.5,62.0,15.4,Feb-16
Bureau Veritas,Commercial Services & Supplies,BVRDF US Equity,62.6,70.0,64.4,55.3,Feb-16
BW Offshore,Oil Services,BWON PZ Equity,57.7,58.3,57.4,58.3,Feb-16
C&C Group Plc,Beverages,CGPZF US Equity,72.1,100.0,81.8,6.0,Feb-16
Caixabank,Banks,CIXPF US Equity,75.3,69.3,89.7,69.5,Feb-16
Cameron International Corp,Oil Services,CAM US Equity,73.7,84.1,65.6,80.0,Feb-16
Canadian Natural Resources,Oil & Gas,CNQ US Equity,71.5,77.3,74.3,56.3,Feb-16
Capgemini,Software & IT Services,CAPMF US Equity,54.3,88.9,46.2,25.0,Feb-16
Carlsberg,Beverages,CABJF US Equity,69.4,63.6,87.5,57.1,Feb-16
Carrefour,Food Retailing,CRERF US Equity,75.3,71.9,73.6,84.3,Feb-16
Casino,Food Retailing,CGUIF US Equity,72.9,66.7,76.3,72.1,Feb-16
Caterpillar Inc,Capital Goods,CAT US Equity,76.4,74.8,87.5,69.3,Feb-16
CBS Corporation,Media,CBS US Equity,40.9,75.0,41.5,2.7,Feb-16
Cenovus,Oil & Gas,CVE US Equity,82.1,88.6,88.5,56.3,Feb-16
Centrica,Utilities,CPYYF US Equity,77.1,99.7,82.6,49.7,Feb-16
CGG,Oil Services,GA NQ Equity,67.4,85.6,64.3,50.0,Feb-16
Chevron,Oil & Gas,CVX US Equity,56.2,61.4,59.3,40.6,Feb-16
Chr Hansen,Food,CRTSF US Equity,90.0,100.0,96.7,62.5,Feb-16
Christian Dior,Luxury Goods,CHDRF US Equity,49.4,68.9,62.3,15.4,Feb-16
Church & Dwight,Household & Personal Care,CHD US Equity,56.9,62.3,66.3,47.7,Feb-16
Citigroup,Banks,C US Equity,60.3,56.1,59.0,75.0,Feb-16
Clariant,Chemicals,CLZNF US Equity,88.3,100.0,95.8,75.0,Feb-16
CNH Industrial,Capital Goods,CNHI US Equity,85.2,89.1,96.1,72.9,Feb-16
Cobham,Aerospace & Defence,CBHMF US Equity,74.0,88.2,82.8,41.7,Feb-16
Coca-Cola Enterprises,Beverages,9876641D US Equity,82.5,90.9,80.8,77.5,Feb-16
Coca-Cola Hellenic,Beverages,CCHBF US Equity,83.0,81.4,92.3,75.7,Feb-16
Cofinimmo,Real Estate,CFMOF US Equity,45.9,65.0,37.5,38.1,Feb-16
Cognizant,Software & IT Services,CTSH US Equity,56.0,88.9,46.2,32.1,Feb-16
Colgate Palmolive,Household & Personal Care,CL US Equity,61.3,72.9,51.7,57.7,Feb-16
Commerzbank,Banks,CRZBF US Equity,68.8,65.0,69.0,80.0,Feb-16
Compass Group,Hotels Restaurants & Leisure,XGR1 GR Equity,56.5,83.0,56.9,34.1,Feb-16
ConocoPhillips,Oil & Gas,COP US Equity,72.9,74.7,84.9,38.8,Feb-16
Constellation Brands,Beverages,STZ US Equity,54.1,78.2,72.6,17.9,Feb-16
Continental,Automobiles & Components,CTTAF US Equity,72.4,74.2,72.5,70.0,Feb-16
Crédit Agricole SA,Banks,CRARF US Equity,80.5,80.6,74.7,90.0,Feb-16
Credit Suisse,Banks,CSGKF US Equity,72.1,72.8,69.0,75.0,Feb-16
CRH PLC,Construction & Building Materials,CRHCF US Equity,84.0,85.7,83.6,83.3,Feb-16
Croda,Chemicals,CRDA VX Equity,81.0,75.0,98.3,66.7,Feb-16
Daily Mail and General Trust,Media,DMGT VX Equity,62.5,77.8,56.3,0.0,Feb-16
Daimler,Automobiles & Components,DDAIF US Equity,79.8,77.1,89.1,72.2,Feb-16
Dairy Crest Group plc,Food,DRCSF US Equity,70.4,61.3,90.9,40.0,Feb-16
Danone,Food,GPDNF US Equity,69.9,71.8,87.7,51.8,Feb-16
Danske Bank,Banks,DNSKF US Equity,83.5,94.4,78.0,60.0,Feb-16
Darty,Non Food Retail,KESAF US Equity,58.0,100.0,75.0,33.3,Feb-16
Dassault Systèmes,Software & IT Services,DASTF US Equity,37.4,51.1,34.6,25.0,Feb-16
Davide Campari-Milano S.p.A.,Beverages,DVC1 GR Equity,67.9,75.0,90.9,6.0,Feb-16
Deere & Company,Capital Goods,DE US Equity,73.0,75.0,81.6,64.3,Feb-16
Derwent London PLC,Real Estate,DWVYF US Equity,74.6,71.4,100.0,70.0,Feb-16
Deutsche Bank AG,Banks,DB US Equity,72.1,76.1,60.0,80.0,Feb-16
Deutsche Boerse AG,General Financials,DBOEF US Equity,89.0,82.6,94.0,100.0,Feb-16
Deutsche EuroShop,Real Estate,DUSCF US Equity,31.6,61.0,37.5,10.3,Feb-16
Deutsche Lufthansa,Transportation,DLAKF US Equity,57.1,82.2,60.0,31.5,Feb-16
Deutsche Telekom,Telecom Services,DTEGF US Equity,78.2,87.8,74.8,77.3,Feb-16
Deutsche Wohnen AG,Real Estate,DWHHF US Equity,46.2,90.0,50.0,16.9,Feb-16
Devon Energy,Oil & Gas,DVN US Equity,57.9,68.8,60.0,37.1,Feb-16
Dia,Food Retailing,DIDAF US Equity,72.1,84.4,66.7,70.0,Feb-16
Diageo,Beverages,DGEAF US Equity,79.7,86.4,90.5,64.3,Feb-16
DNB,Banks,DNBHF US Equity,89.1,97.2,68.0,100.0,Feb-16
Drax,Utilities,DRXGF US Equity,60.2,70.0,61.5,50.0,Feb-16
DSM NV,Chemicals,KDSKF US Equity,90.0,100.0,91.7,83.3,Feb-16
Durr AG,Capital Goods,DUERF US Equity,59.5,69.6,56.8,51.4,Feb-16
E.ON,Utilities,ENAKF US Equity,64.0,87.8,63.9,44.6,Feb-16
Eaton Corporation PLC,Capital Goods,ETN US Equity,75.7,85.3,73.2,65.9,Feb-16
Edenred,Commercial Services & Supplies,EDNMF US Equity,56.6,61.5,73.1,37.4,Feb-16
EDF,Utilities,ECIFF US Equity,67.7,66.3,74.3,58.2,Feb-16
EDP Renovaveis SA,Utilities,EDRVF US Equity,75.3,72.2,72.8,81.8,Feb-16
Eiffage,Construction & Building Materials,EFGSF US Equity,60.8,42.9,68.6,61.1,Feb-16
Emerson Electric,Capital Goods,EMR US Equity,61.4,73.9,56.6,50.0,Feb-16
Enagas,Utilities,ENGGF US Equity,80.8,83.3,92.9,59.1,Feb-16
Encana Corporation,Oil & Gas,ECA US Equity,71.3,81.8,73.9,50.0,Feb-16
Endesa SA,Utilities,ELEZF US Equity,68.2,77.8,88.3,27.3,Feb-16
Enea,Utilities,ENA PW Equity,62.9,66.7,70.6,43.8,Feb-16
Enel,Utilities,XQKGF US Equity,75.9,99.7,79.8,50.0,Feb-16
Enel Green Power,Utilities,ELPSF US Equity,89.2,72.2,96.7,90.9,Feb-16
Energa,Utilities,ENG PW Equity,62.9,66.7,70.6,43.8,Feb-16
Energias de Portugal,Utilities,ELCPF US Equity,85.9,83.0,95.6,72.5,Feb-16
Engie,Utilities,GDSZF US Equity,61.7,50.0,77.4,45.5,Feb-16
ENI,Oil & Gas,EIPAF US Equity,82.1,69.1,91.5,75.0,Feb-16
