Name,Industry,Ticker,Total,Governance,Social,Environment,Date
CYBG,Banks,CBBYF US Equity,43.7,46.0,46.7,33.3,Sep-19
Daily Mail and General Trust,Media,DMTGF US Equity,56.5,55.4,51.2,70.8,Sep-19
Daimler,Automobiles & Components,DDAIF US Equity,70.1,64.5,68.3,81.3,Sep-19
Danone,Food,GPDNF US Equity,62.3,64.7,66.9,55.4,Sep-19
Danske Bank,Banks,DNSKF US Equity,58.6,51.3,60.0,74.7,Sep-19
Dassault Aviation,Aerospace & Defence,DUAVF US Equity,49.3,49.0,55.0,43.3,Sep-19
Dassault Systèmes,Software & IT Services,DASTF US Equity,61.6,49.4,85.0,35.0,Sep-19
DBV Technologies,Pharmaceuticals & Biotechnology,DBVTF US Equity,38.7,38.0,31.3,56.3,Sep-19
Dell Technologies Inc.,Technology Hardware,DELL US Equity,80.4,49.6,92.2,100.0,Sep-19
Deutsche Bank AG,Banks,DB US Equity,59.1,53.5,61.1,70.0,Sep-19
Deutsche EuroShop,Real Estate,DUSCF US Equity,57.7,56.5,56.3,60.0,Sep-19
Deutsche Lufthansa,Transportation,DLAKF US Equity,66.0,62.6,63.8,71.7,Sep-19
Deutsche Post AG,Transportation,DPSTF US Equity,72.2,66.7,85.7,67.8,Sep-19
Deutsche Telekom,Telecom Services,DTEGF US Equity,77.5,65.6,85.0,78.6,Sep-19
Diageo,Beverages,DGEAF US Equity,74.2,58.8,83.7,77.8,Sep-19
DNB,Banks,DNBHF US Equity,79.2,71.7,82.2,93.3,Sep-19
Dormakaba,Capital Goods,DRRKF US Equity,65.0,64.6,71.8,58.0,Sep-19
DSM NV,Chemicals,KDSKF US Equity,82.3,68.6,87.3,90.0,Sep-19
Durr AG,Capital Goods,DUERF US Equity,55.8,66.3,58.8,37.0,Sep-19
EasyJet,Transportation,EJETF US Equity,57.0,69.1,67.3,34.4,Sep-19
EDF,Utilities,ECIFF US Equity,68.5,58.0,79.8,67.9,Sep-19
Eiffage,Construction & Building Materials,EFGSF US Equity,63.6,55.1,67.3,71.3,Sep-19
Eli Lilly,Pharmaceuticals & Biotechnology,LLY US Equity,54.0,55.2,41.0,85.0,Sep-19
Elior Group,Hotels Restaurants & Leisure,ELROF US Equity,65.6,59.3,71.5,67.5,Sep-19
Elis,Commercial Services & Supplies,ELSSF US Equity,62.3,50.4,67.3,75.0,Sep-19
Enagas,Utilities,ENGGF US Equity,72.4,60.4,79.8,77.4,Sep-19
Endesa SA,Utilities,ELEZF US Equity,81.5,62.6,96.0,85.5,Sep-19
Enel,Utilities,XQKGF US Equity,74.8,61.9,86.0,76.4,Sep-19
Energias de Portugal,Utilities,ELCPF US Equity,68.4,60.2,77.8,67.3,Sep-19
Engie,Utilities,GDSZF US Equity,60.5,52.7,70.8,58.2,Sep-19
Eni,Oil & Gas,EIPAF US Equity,74.4,48.5,87.1,88.6,Sep-19
Eon,Utilities,ENAKF US Equity,82.0,63.8,90.6,90.9,Sep-19
Equinor,Oil & Gas,STOHF US Equity,74.5,62.1,82.5,79.6,Sep-19
Eramet,Metals & Mining,ERMAF US Equity,59.4,54.8,71.8,53.2,Sep-19
Ericsson,Technology Hardware,ERIXF US Equity,75.3,48.9,92.0,81.3,Sep-19
Erste Group,Banks,EBKOF US Equity,66.2,64.0,71.9,63.0,Sep-19
EssilorLuxottica,Health Care Equipment & Services,ESLOF US Equity,59.4,57.6,56.3,72.5,Sep-19
Eurazeo,Holding & Investment companies,EUZOF US Equity,70.0,67.7,85.7,50.0,Sep-19
Eurofins Scientific,Pharmaceuticals & Biotechnology,ERFSF US Equity,33.5,30.4,31.3,50.0,Sep-19
Europcar Mobility Group,Commercial Services & Supplies,EUCAR FP Equity,59.4,55.5,85.4,43.3,Sep-19
Eutelsat,Telecom Services,EUTLF US Equity,58.0,53.6,51.8,80.0,Sep-19
Evonik,Chemicals,EVKIF US Equity,76.2,64.8,91.3,69.5,Sep-19
